Dataset:Dermatology  Date:27-Jul-2026 19:25:30
Dataset:Dermatology  Date:27-Jul-2026 19:27:32
40	1	1	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	1.126
40	1	100	6	4	0.34916	0.32549	0.8352	0.36273	0.74481	0.23974	0.085436	2.4285	0.80072
40	1	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.8286
40	100	0.01	6	13	0.60335	0.72674	0.60335	0.55699	0.40887	0.87339	0.49208	2.4285	1.3208
40	100	1	6	14	0.5838	0.71812	0.5838	0.54124	0.39302	0.86896	0.47581	2.4285	1.8316
40	100	100	6	6	0.75698	0.8224	0.89106	0.76945	0.78643	0.7532	0.71011	2.4285	2.088
40	100	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	1.0557
40	10000	0.01	6	16	0.55028	0.69821	0.55028	0.53	0.39208	0.81762	0.45984	2.4285	1.618
40	10000	1	6	9	0.74022	0.75926	0.76536	0.6916	0.6333	0.76172	0.623	2.4285	1.5635
40	10000	100	6	3	0.6676	0.727	0.99162	0.6823	0.98134	0.52295	0.56983	2.4285	1.7168
40	10000	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.98877
50	0.01	0.01	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.6149
50	0.01	1	6	6	0.44413	0.39238	0.81006	0.4175	0.81103	0.28111	0.17066	2.4285	0.64345
50	0.01	100	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.61852
50	0.01	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.6195
50	1	0.01	6	9	0.35475	0.28276	0.84637	0.36753	0.83586	0.23555	0.079807	2.4285	0.88713
50	1	1	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.87547
50	1	100	6	6	0.45531	0.3929	0.8324	0.41761	0.83648	0.27827	0.16713	2.4285	0.87097
50	1	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.8982
50	100	0.01	6	17	0.53631	0.72624	0.53631	0.50948	0.35577	0.89703	0.44648	2.4285	1.4578
50	100	1	6	19	0.48603	0.70749	0.48603	0.46173	0.31134	0.89315	0.39952	2.4285	2.2597
50	100	100	6	5	0.80447	0.81728	0.93855	0.79808	0.92652	0.70091	0.73838	2.4285	1.986
50	100	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	1.1799
50	10000	0.01	6	18	0.58101	0.72966	0.58101	0.52618	0.36959	0.913	0.46431	2.4285	1.702
50	10000	1	6	15	0.61173	0.73992	0.66201	0.56631	0.44635	0.77442	0.49184	2.4285	1.9774
50	10000	100	6	3	0.65642	0.69351	0.98045	0.65338	0.94854	0.49832	0.52984	2.4285	1.6098
50	10000	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	1.0433
Dataset:Dermatology  Date:27-Jul-2026 19:29:25
10	0.01	0.01	6	4	0.46369	0.54244	0.89944	0.46077	0.89888	0.30979	0.23179	2.4285	0.96573
10	0.01	1	6	2	0.50559	0.4404	0.99721	0.45044	0.99453	0.29116	0.2035	2.4285	0.44019
10	0.01	100	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.43861
10	0.01	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.44385
10	1	0.01	6	4	0.46369	0.54244	0.89944	0.46077	0.89888	0.30979	0.23179	2.4285	0.62977
10	1	1	6	3	0.56145	0.57333	0.99721	0.49761	0.99453	0.33181	0.28175	2.4285	0.64582
10	1	100	6	2	0.36592	0.22693	1	0.36615	1	0.2241	0.057589	2.4285	0.61337
10	1	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.63092
10	100	0.01	6	5	0.62291	0.77099	0.89106	0.64296	0.77792	0.5479	0.53318	2.4285	0.8258
10	100	1	6	5	0.62291	0.77099	0.89106	0.64296	0.77792	0.5479	0.53318	2.4285	0.81761
10	100	100	6	5	0.69274	0.79342	0.96089	0.70561	0.89505	0.58236	0.61121	2.4285	1.5528
10	100	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.80272
10	10000	0.01	6	4	0.56704	0.69741	0.89106	0.5838	0.77792	0.46722	0.44477	2.4285	0.80501
10	10000	1	6	4	0.56704	0.69741	0.89106	0.5838	0.77792	0.46722	0.44477	2.4285	0.99388
10	10000	100	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.78443
10	10000	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.79583
20	0.01	0.01	6	2	0.36592	0.22693	1	0.36615	1	0.2241	0.057589	2.4285	0.48239
20	0.01	1	6	3	0.46369	0.25097	0.81564	0.37041	0.81493	0.23967	0.087929	2.4285	0.50555
20	0.01	100	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.47571
20	0.01	10000	6	1	0.31006	0	1	0.33389	1	0.2004	0	2.4285	0.48265
20	1	0.01	6	4	0.45531	0.38858	0.89106	0.39824	0.87615	0.25768	0.12825	2.4285	0.68537
